feature,importance,fold
OCCUPATION_TYPE_COOKINGSTAFF,22,1
OCCUPATION_TYPE_CORESTAFF,54,1
OCCUPATION_TYPE_DRIVERS,93,1
OCCUPATION_TYPE_HRSTAFF,0,1
OCCUPATION_TYPE_HIGHSKILLTECHSTAFF,70,1
OCCUPATION_TYPE_ITSTAFF,0,1
OCCUPATION_TYPE_LABORERS,119,1
OCCUPATION_TYPE_LOWSKILLLABORERS,22,1
OCCUPATION_TYPE_MANAGERS,0,1
OCCUPATION_TYPE_MEDICINESTAFF,56,1
OCCUPATION_TYPE_PRIVATESERVICESTAFF,25,1
OCCUPATION_TYPE_REALTYAGENTS,0,1
OCCUPATION_TYPE_SALESSTAFF,60,1
OCCUPATION_TYPE_SECRETARIES,5,1
OCCUPATION_TYPE_SECURITYSTAFF,4,1
OCCUPATION_TYPE_WAITERSBARMENSTAFF,33,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,109,1
WEEKDAY_APPR_PROCESS_START_MONDAY,67,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,75,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,73,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,2,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,82,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,105,1
ORGANIZATION_TYPE_ADVERTISING,0,1
ORGANIZATION_TYPE_AGRICULTURE,15,1
ORGANIZATION_TYPE_BANK,61,1
ORGANIZATION_TYPE_BUSINESSENTITYTYPE1,53,1
ORGANIZATION_TYPE_BUSINESSENTITYTYPE2,8,1
ORGANIZATION_TYPE_BUSINESSENTITYTYPE3,135,1
ORGANIZATION_TYPE_CLEANING,0,1
ORGANIZATION_TYPE_CONSTRUCTION,94,1
ORGANIZATION_TYPE_CULTURE,0,1
ORGANIZATION_TYPE_ELECTRICITY,24,1
ORGANIZATION_TYPE_EMERGENCY,0,1
ORGANIZATION_TYPE_GOVERNMENT,21,1
ORGANIZATION_TYPE_HOTEL,28,1
ORGANIZATION_TYPE_HOUSING,2,1
ORGANIZATION_TYPE_INDUSTRYTYPE1,14,1
ORGANIZATION_TYPE_INDUSTRYTYPE10,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE11,2,1
ORGANIZATION_TYPE_INDUSTRYTYPE12,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE13,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE2,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE3,22,1
ORGANIZATION_TYPE_INDUSTRYTYPE4,5,1
ORGANIZATION_TYPE_INDUSTRYTYPE5,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE6,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE7,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE8,0,1
ORGANIZATION_TYPE_INDUSTRYTYPE9,88,1
ORGANIZATION_TYPE_INSURANCE,0,1
ORGANIZATION_TYPE_KINDERGARTEN,39,1
ORGANIZATION_TYPE_LEGALSERVICES,0,1
ORGANIZATION_TYPE_MEDICINE,40,1
ORGANIZATION_TYPE_MILITARY,90,1
ORGANIZATION_TYPE_MOBILE,0,1
